北京移动,#genre#
CCTV-10,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226464/index.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EhynwfVN0l-OVrv7fFM2B9A%7E_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNMwNdslefV6Y40vy3_soOjH%2CEND
CCTV-11,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226463/index.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7Ew_8v6J6VFSup8qbVQZ1ItA%7E_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNOF9TDldY1_BLfowcKhPjkW%2CEND
CCTV-12,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226228/index.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7E2knJCFLHz_HqfBZXNGeA1A%7E_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNPFvvuwbq4sxUzSXrXOt8Ph%2CEND
CCTV-13,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226446/index.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EU-IJJyzlYeEElWsacI4JKw%7E_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNPXAcVkXj_-1wPLY3eRpo6b%2CEND
CCTV-14,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226229/index.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7Ey_UgKg-_uoDiTW1MNHptPg%7E_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNMou-VcJXaMJro7OEMl9jCb%2CEND
CCTV-15,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226460/index.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EO3ovhj4uIa-pxddTH6uyqQ%7E_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNMg927eQHmhdK5J4QVEw0Ny%2CEND
CCTV-16,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221227002/index.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EX9goLRw26BM_r54des2PAw%7E_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNMd7kIj9S-JSFS-Msmtae9a%2CEND
CCTV-17,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226459/index.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EW_3n8Mtxag8Sub9AT2mZng%7E_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNMy60HtfCg3WkRlvcdVHDd7%2CEND
CETV-1,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226494/index.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EB8MrpAzJ_Bw12HHVBcZO6g%7E_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNMP7o7xuUPZAyrlZeYGlI_L%2CEND
CETV-2,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226537/index.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7E7AxXs4eTU2oiWrhopr9sHw%7E_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNOkccFc8Vgc9GHoTV9-cFy7%2CEND
CETV-4,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226557/index.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EBzZToIaOOoaa_jAUfhUQHQ%7E_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNOkccFc8Vgc9GHoTV9-cFy7%2CEND
CGTN英语,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226443/index.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7Ebu8iDniP_aAtg-APxKXKAA%7E_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNOQOvo-8F4bGPgRSufkHrU2%2CEND
CGTN阿语,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221227023/index.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EsOnjStoSIBiRDXRm4N42Zw%7E_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNPIa_VzGkR4vLxsh20a_YJ7%2CEND
CGTN俄语,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221227038/index.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EnNP_kmf5g3OZQXDWZHNpOA%7E_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNP4BeJy4hi03mxf_nCjJFmD%2CEND
CGTN法语,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221227034/index.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EnmNWt4gIKrkCWjuWofLapQ%7E_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNOag_BwZWjFkvsKYkeRlKfJ%2CEND
CGTN纪录,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226901/index.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EIDa9eQPW7MPnVG3tWV9L_A%7E_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNP4BeJy4hi03mxf_nCjJFmD%2CEND
CGTN西语,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221227030/index.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EWR3JI0iklU2klIzSzhH6nA%7E_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNMfvPwDiLn1VC4o6uXOuCbC%2CEND
安徽卫视,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226499/index.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7Ejv5PZQ9Wrdc-v_bFVM9gDg%7E_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNO4AZt2VrEvAjn8VlH3EVix%2CEND
兵团卫视,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226541/index.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7ESv-rH0nF41q6pxKZKeRnNA%7E_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNPeTDuVkZZ5VFVm_Yae5hii%2CEND
重庆卫视,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226518/index.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7Ey-ITbF7am-eD_R60rK2QcQ%7E_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNMmYBc_H8HdAlDhQSyYNmzk%2CEND
东方卫视,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226898/index.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7E0uh4lyjjBCCN7TCq21vSIQ%7E_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNMvBikhdY7mQdTHGSVuv87W%2CEND
东南卫视,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226496/index.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EkZUfG47p98m2PZiCsgkhyQ%7E_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNONoijkdAsf86eu_zw69I_q%2CEND
甘肃卫视,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226545/index.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EPxObabIs3mLyPmSf2HHtqQ%7E_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNMwZQMinTagYra9OGIvc0aP%2CEND
广东卫视,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226238/index.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EsOwFRXT0-jLOJsddrbdfkw%7E_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNOWqZeaOvzvAzzquez_I85j%2CEND
广西卫视,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226534/index.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EpjsBggKPaCw3f-xlBWZWaQ%7E_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNN4jc4bpKJV5yQhtGgg03WJ%2CEND
贵州卫视,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226497/index.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EII9j63eIna15eP_YmWS_IQ%7E_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNPjztPelIF0xFUHPJgdII96%2CEND
海南卫视,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226574/index.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EZOP0PLu1-XG8_Ae0lTe9HQ%7E_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNNUCpGFf0yeIZeN5kxdZg_V%2CEND
河北卫视,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226507/index.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7E9t05Tsae9v-3icTyI_M0ag%7E_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNPqKz9Hbr_29wU9rb3gAcv4%2CEND
河南卫视,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226525/index.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EaNNLPigfrjqAESczXiD6Iw%7E_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNMzwDvi-hIyV0WWmpooJcFH%2CEND
黑龙江卫视,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226239/index.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EEHwpSHKc5p-bHJfhpIWFig%7E_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNOzXXbxM7EvGsOHs4yYdVkw%2CEND
湖北卫视,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226240/index.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7ExfU_RR0RQok0w_xd7h22CQ%7E_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNMxP4DyNDbb9tPtIK5c0miS%2CEND
湖南卫视,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226509/index.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EIGb_ib7rnBX9_sANRKq9sg%7E_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNN4xNppR-Hys9VU0H7EylzL%2CEND
吉林卫视,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226533/index.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EicY_6znuOTlmMeE15TFEig%7E_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNNul25yO0leSDFznMX4hqWh%2CEND
江苏卫视,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226897/index.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7E0BmO6uHF7WFoTed__Xr3NQ%7E_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNNiwrhxGzhp6fmEqcVXKp-h%2CEND
江西卫视,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226243/index.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EfPpe3gkzCutYMoqOQQZNzA%7E_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNMOwi6z7vIttUS_LMC6Mhgh%2CEND
康巴卫视,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221227027/index.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EkHMvBpWz4rccMxNvSRekpQ%7E_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNNZ4e6DhEhFn37SCSCc4QIJ%2CEND
辽宁卫视,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226500/index.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7Eqv6Rbj-x4AuLCFGqmqPvOA%7E_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNPzy2vt-hZNvEorTmlUPHZA%2CEND
内蒙古卫视,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226530/index.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EHHMwHAFmEx4xxtZRlWhCrg%7E_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNMZZ5-lvz5qx1inJrfgL72r%2CEND
宁夏卫视,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226528/index.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7E9-jWxE6tfiz7aO7MvbCY7Q%7E_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNM1aSOlVISBI3LiIWvmWChC%2CEND
青海卫视,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226529/index.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7Ege4qzvU2ax15UdL3NFQ7AQ%7E_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNPo49E4JwFJDw19Bq_hzOlb%2CEND
三沙卫视,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226544/index.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7Eb2dn60YQRxhB5rAyOnrv0g%7E_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNNjmh4VTYtQnIREtuulaV1a%2CEND
厦门卫视,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226542/index.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7E0HuqirkTe1cAUljwazjNGw%7E_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNPu9HlBKUNlxpdKwk1uDXSJ%2CEND
山东教育卫视,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226526/index.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EEtk94qghXphElKOQlUC-Yw%7E_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNM6BPgqCXK3Nu_jCwy7TuK8%2CEND
山东卫视,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226244/index.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EycMz-PML_dQW8iLcNBkw7g%7E_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNOhBQbnxWXibw3Oa5QbQ02O%2CEND
山西卫视,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226531/index.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EokFa56wMKUpB1vaIjEe92A%7E_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNPBHh2aaWgmosoJg22meaHZ%2CEND
陕西卫视,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226532/index.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7E6sNSqmLCqLFl_AJPBXp1qA%7E_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNPq6o_ShrYsY2mJvL1B7c10%2CEND
深圳卫视,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226245/index.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EFvxuZ6Kfg6J67sArVd0LuA%7E_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNP1N4miugo3x3nOPw4VVOub%2CEND
四川卫视,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226523/index.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7ESzNXkz200VGe5tqCEHAJnA%7E_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNOEAumHyNyDztS9lB4UGlMK%2CEND
天津卫视,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226246/index.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7ERZemtK6J9gJ5YwzKz5lxAg%7E_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNPGcM1S-UCOGHirSAyXuJ4n%2CEND
西藏卫视,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226527/index.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EmHuqUIe0F51C4h6xZanhig%7E_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNPrDJ1Mx6YK4wLBTz0M60Gf%2CEND
新疆卫视,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226546/index.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7ETtoZKRqwsL9SQjr1A0iH5g%7E_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNOgkK2WIZFpJtm7DV-FXktr%2CEND
延边卫视,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221227045/index.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7Eq0D3NdTUN7FuRzr8eJsbQA%7E_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNPeTDuVkZZ5VFVm_Yae5hii%2CEND
云南卫视,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226543/index.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EzQy9f4DIExLCs810r0Q6Kw%7E_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNO6hvsivaOk0oXrEHp67H6v%2CEND
浙江卫视,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226899/index.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7ETYfTgTra_pUx2cPrgZ_BDw%7E_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNN4EU6YE1ctrJt5tJ8oSc4w%2CEND
哈哈炫动,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226931/index.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EwXk4-w8DP-IRvdMpjszPAA%7E_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNNeP55ODw-FYyLMdjeTNlOo%2CEND
湖南金鹰纪实,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226572/index.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7Elk4R8S3DtBgZ5-UvxaixOQ%7E_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNPw5VW0QBXoca287K-1DDwq%2CEND
